PhishID,URL,Phish_Detail_URL,Date_Submitted,Submitter,Is_online
7439311,https://skymavishub.live/,https://www.phishtank.com/phish_detail.php?            phish_id=7439311,Feb 9th 2022 6:20 AM,r3gersec,False
7439310,https://webmail.bellahills.com/?,https://www.phishtank.com/phish_detail.php?            phish_id=7439310,Feb 9th 2022 6:16 AM,kkalmus,False
7439309,https://chambers14551.wixsite.com/my-site-1,https://www.phishtank.com/phish_detail.php?            phish_id=7439309,Feb 9th 2022 6:08 AM,verifrom,True
7439308,https://Chainintegrator.com,https://www.phishtank.com/phish_detail.php?            phish_id=7439308,Feb 9th 2022 6:08 AM,r3gersec,True
7439307,https://exoduslogin.com/,https://www.phishtank.com/phish_detail.php?            phish_id=7439307,Feb 9th 2022 6:00 AM,DDay,True
7439306,http://exoduslogin.com,https://www.phishtank.com/phish_detail.php?            phish_id=7439306,Feb 9th 2022 6:00 AM,DDay,True
7439305,https://lnpost.pl-info-18532001.site/odbior/1644349784,https://www.phishtank.com/phish_detail.php?            phish_id=7439305,Feb 9th 2022 5:48 AM,CERTPKOBP,False
7439304,https://exodus.wales,https://www.phishtank.com/phish_detail.php?            phish_id=7439304,Feb 9th 2022 5:44 AM,DDay,False
7439303,https://www.ma.mecsori.com/,https://www.phishtank.com/phish_detail.php?            phish_id=7439303,Feb 9th 2022 5:37 AM,Micha,True
7439302,http://helium-dapps.com/en/,https://www.phishtank.com/phish_detail.php?            phish_id=7439302,Feb 9th 2022 5:28 AM,DDay,False
7439301,https://allegrolokalnie-pl.902344.xyz/,https://www.phishtank.com/phish_detail.php?            phish_id=7439301,Feb 9th 2022 5:19 AM,Amarena98,False
7439300,https://jp.mercari.liatle.xyz/?u=aHR0cHM6Ly93d3cuZmFuY3l0b3lzLmNsdWIvcHJvZHVjdHMvcGc4MDAyLmh0bWw/ZmJjbGlkPUl3QVIwcGQ1RzJFTDNjS3dZQlJRWm1vTE96aFlWS0hMM3NBMWx5dmtkSFN5aUprMm5sbWQwRFV3MHdQMlU=,https://www.phishtank.com/phish_detail.php?            phish_id=7439300,Feb 9th 2022 5:17 AM,kubotaa,True
7439299,http://idmanagementnab.com/Login.php,https://www.phishtank.com/phish_detail.php?            phish_id=7439299,Feb 9th 2022 5:16 AM,phishnabber,False
7439298,http://idmanagementnab.com,https://www.phishtank.com/phish_detail.php?            phish_id=7439298,Feb 9th 2022 5:16 AM,phishnabber,False
7439297,https://exodus.com.mint-app.ru/home/unlock.php,https://www.phishtank.com/phish_detail.php?            phish_id=7439297,Feb 9th 2022 5:08 AM,DDay,True
7439296,https://viterra.eu,https://www.phishtank.com/phish_detail.php?            phish_id=7439296,Feb 9th 2022 4:47 AM,legalintsights,True
7439295,https://www.anazom.setacle.shop/UserHome.php?SpecifyParameters478=1VVSucKD,https://www.phishtank.com/phish_detail.php?            phish_id=7439295,Feb 9th 2022 4:34 AM,hideaki,False
7439294,https://amaoznjapcpan.ga/,https://www.phishtank.com/phish_detail.php?            phish_id=7439294,Feb 9th 2022 4:32 AM,hideaki,True
7439293,https://amazon.co.jp.xbust.cn/,https://www.phishtank.com/phish_detail.php?            phish_id=7439293,Feb 9th 2022 4:28 AM,hideaki,True
7439292,https://updateinformationcutomerpayments.online/?ggwp,https://www.phishtank.com/phish_detail.php?            phish_id=7439292,Feb 9th 2022 4:25 AM,hideaki,False
